Dimension,Correlation,PValue,AbsCorrelation
126,0.07712821585665548,1.0926207996868907e-64,0.07712821585665548
104,-0.07689685431557311,2.6066008582866707e-64,0.07689685431557311
0,-0.07671492035549457,5.154755928137207e-64,0.07671492035549457
147,-0.07607768812928918,5.54462093532276e-63,0.07607768812928918
196,0.0734791660150495,7.266863689940745e-59,0.0734791660150495
131,-0.07226445985668425,5.45576281022167e-57,0.07226445985668425
62,0.07201667309058078,1.3049339515740431e-56,0.07201667309058078
1,0.07143564922974902,9.966620615763738e-56,0.07143564922974902
8,-0.07136230092150164,1.2867756363240521e-55,0.07136230092150164
146,0.07019140455124853,7.332753458431791e-54,0.07019140455124853
130,0.07018537179192934,7.485794125772161e-54,0.07018537179192934
151,0.06891529299322324,5.567610145850913e-52,0.06891529299322324
128,0.06494240353210602,2.392570524620211e-46,0.06494240353210602
134,-0.06482944793951781,3.420887494834355e-46,0.06482944793951781
81,0.06377457819501245,9.357939448363418e-45,0.06377457819501245
20,-0.06348199155578409,2.3205951143825304e-44,0.06348199155578409
101,-0.06223317790219697,1.0683278311837548e-42,0.06223317790219697
121,-0.06175409529101041,4.549611413211985e-42,0.06175409529101041
49,0.05982396461024952,1.3933925426644977e-39,0.05982396461024952
108,0.059256873922483966,7.237124151845376e-39,0.059256873922483966
27,0.05856365397620633,5.30858253031085e-38,0.05856365397620633
93,0.058291752220578016,1.152529606728058e-37,0.058291752220578016
14,0.057642949396792875,7.222930986954505e-37,0.057642949396792875
194,0.056991868130537214,4.4632788451696495e-36,0.056991868130537214
186,0.056058674600714196,5.85776562078426e-35,0.056058674600714196
113,-0.05561589140224711,1.958047357671227e-34,0.05561589140224711
144,-0.05540921621253121,3.4279687386790378e-34,0.05540921621253121
2,0.05516995341034168,6.538471209758573e-34,0.05516995341034168
141,0.0550312334562416,9.495496213843888e-34,0.0550312334562416
35,-0.05436737033036906,5.5896180247677144e-33,0.05436737033036906
177,0.05417638419021573,9.271413397984202e-33,0.05417638419021573
47,-0.053535461073639816,5.000745107056407e-32,0.053535461073639816
178,-0.053424162860451534,6.687271354305415e-32,0.053424162860451534
102,0.05299669796696568,2.0303953657516594e-31,0.05299669796696568
160,-0.05213300568901385,1.8638433919458266e-30,0.05213300568901385
41,0.05157692958392886,7.621097844593729e-30,0.05157692958392886
136,0.051478689536355336,9.758723497322859e-30,0.051478689536355336
9,-0.04859015784058078,1.1375489723434079e-26,0.04859015784058078
180,0.0481658891387815,3.1020343407637524e-26,0.0481658891387815
156,-0.04701588468880086,4.504007093376768e-25,0.04701588468880086
66,0.04643108880646611,1.7133394857061345e-24,0.04643108880646611
18,0.0458917618816972,5.78928509034449e-24,0.0458917618816972
4,-0.045507121204967305,1.3678073338049607e-23,0.045507121204967305
38,0.04508348176048158,3.497043557800797e-23,0.04508348176048158
189,-0.04473165094236364,7.575656659939725e-23,0.04473165094236364
140,-0.04428686094143067,1.9958881567083645e-22,0.04428686094143067
138,-0.04415231700894232,2.6704411478942234e-22,0.04415231700894232
10,-0.04398091927117461,3.8647153217913097e-22,0.04398091927117461
174,0.0430295238044755,2.931226570550699e-21,0.0430295238044755
112,0.041730332622611235,4.3462265607295605e-20,0.041730332622611235
162,0.041301697278845466,1.0393087373807678e-19,0.041301697278845466
